类型,资源,开始秒,结束秒,严重度,相关车次,建议
TRACK_OVERLAP,股道 1道,29340,29520,HIGH,K721/T31,建议检查可用兼容股道；若无法换线，优先级较低的 T31 至少推迟约 3 分钟。算法建议，仅用于模拟分析。
TRACK_OVERLAP,股道 2道,30540,30660,HIGH,Z89/C301,建议检查可用兼容股道；若无法换线，优先级较低的 C301 至少推迟约 2 分钟。算法建议，仅用于模拟分析。
TRACK_OVERLAP,股道 3道,28800,29100,HIGH,G101/D205,建议检查可用兼容股道；若无法换线，优先级较低的 D205 至少推迟约 5 分钟。算法建议，仅用于模拟分析。
TRACK_OVERLAP,股道 3道,29160,29220,HIGH,D205/G107,建议检查可用兼容股道；若无法换线，优先级较低的 G107 至少推迟约 1 分钟。算法建议，仅用于模拟分析。
HEADWAY_SHORT,区间 west → central,27600,27780,HIGH,G101/D205,建议将后车 D205 进入区间的时刻推迟 2 分钟，以满足最小追踪间隔。算法建议，仅用于模拟分析。
HEADWAY_SHORT,区间 central → east,28980,29100,HIGH,G101/D205,建议将后车 D205 进入区间的时刻推迟 3 分钟，以满足最小追踪间隔。算法建议，仅用于模拟分析。
HEADWAY_SHORT,区间 central → west,29400,29640,HIGH,K721/T31,建议将后车 T31 进入区间的时刻推迟 1 分钟，以满足最小追踪间隔。算法建议，仅用于模拟分析。
HEADWAY_SHORT,区间 central → west,30300,30540,HIGH,K725/Z89,建议将后车 Z89 进入区间的时刻推迟 1 分钟，以满足最小追踪间隔。算法建议，仅用于模拟分析。
HEADWAY_SHORT,区间 central → west,30540,30780,HIGH,Z89/C301,建议将后车 C301 进入区间的时刻推迟 1 分钟，以满足最小追踪间隔。算法建议，仅用于模拟分析。
RUN_TOO_SHORT,区间 west → central,27780,28920,MEDIUM,D205,建议校正区间运行时分。算法建议，仅用于模拟分析。
